Parameter,Value
Bodymass,82.0
Height,1780.0
InterAsisDistance,200.0
LLegLength,820.0
LAsisTrocanterDistance,54.47999954223633
LKneeWidth,107.0
LAnkleWidth,75.0
LTibialTorsion,0.0
LSoleDelta,0.0
LThighRotation,0.0
LShankRotation,0.0
LStaticPlantFlex,0.23484310507774353
LStaticRotOff,0.01136836502701044
LAnkleAbAdd,0.0
LShoulderOffset,74.0
LElbowWidth,74.0
LWristWidth,65.0
LHandThickness,35.0
RLegLength,820.0
RAsisTrocanterDistance,54.47999954223633
RKneeWidth,110.0
RAnkleWidth,79.0
RTibialTorsion,0.0
RSoleDelta,0.0
RThighRotation,0.0
RShankRotation,0.0
RStaticPlantFlex,0.2767352759838104
RStaticRotOff,-0.0028763350564986467
RAnkleAbAdd,0.0
RShoulderOffset,75.0
RElbowWidth,72.0
RWristWidth,64.0
RHandThickness,36.0
PelvisLength,0.0
HeadOffset,0.14089414477348328
HalterWeight,0.3790000081062317
HalterLength,400.0
ParticipantCode,modelo lanoux
